feature_index,feature_name,matrix_block,family,subfamily,source_column_or_encoder,transform,used_in_main_I_LightGBM_Dense_AF,note
141,import_error_seen,dense,dense_bool,process_bool,import_error_seen,standardized numeric / bool cast / one-hot categorical,yes,
142,file_not_found_seen,dense,dense_bool,process_bool,file_not_found_seen,standardized numeric / bool cast / one-hot categorical,yes,
143,timeout_seen,dense,dense_bool,process_bool,timeout_seen,standardized numeric / bool cast / one-hot categorical,yes,
144,permission_error_seen,dense,dense_bool,process_bool,permission_error_seen,standardized numeric / bool cast / one-hot categorical,yes,
145,test_fail_seen,dense,dense_bool,process_bool,test_fail_seen,standardized numeric / bool cast / one-hot categorical,yes,
146,test_pass_seen,dense,dense_bool,process_bool,test_pass_seen,standardized numeric / bool cast / one-hot categorical,yes,
147,all_tests_passed_seen,dense,dense_bool,process_bool,all_tests_passed_seen,standardized numeric / bool cast / one-hot categorical,yes,
148,test_improving_seen,dense,dense_bool,process_bool,test_improving_seen,standardized numeric / bool cast / one-hot categorical,yes,
149,repeated_same_action_consecutive,dense,dense_bool,process_bool,repeated_same_action_consecutive,standardized numeric / bool cast / one-hot categorical,yes,
150,repeated_same_search_consecutive,dense,dense_bool,process_bool,repeated_same_search_consecutive,standardized numeric / bool cast / one-hot categorical,yes,
151,repeated_same_view_consecutive,dense,dense_bool,process_bool,repeated_same_view_consecutive,standardized numeric / bool cast / one-hot categorical,yes,
152,looping_read_seen,dense,dense_bool,process_bool,looping_read_seen,standardized numeric / bool cast / one-hot categorical,yes,
153,edit_failed_seen,dense,dense_bool,process_bool,edit_failed_seen,standardized numeric / bool cast / one-hot categorical,yes,
154,submit_without_test_seen,dense,dense_bool,process_bool,submit_without_test_seen,standardized numeric / bool cast / one-hot categorical,yes,
155,premature_submit_seen,dense,dense_bool,process_bool,premature_submit_seen,standardized numeric / bool cast / one-hot categorical,yes,
156,multi_submit_seen,dense,dense_bool,process_bool,multi_submit_seen,standardized numeric / bool cast / one-hot categorical,yes,
157,submit_then_edit_again_seen,dense,dense_bool,process_bool,submit_then_edit_again_seen,standardized numeric / bool cast / one-hot categorical,yes,
158,test_after_submit_seen,dense,dense_bool,process_bool,test_after_submit_seen,standardized numeric / bool cast / one-hot categorical,yes,
159,gold_has_hints,dense,dense_bool,structured_gold_answer_bool,gold_has_hints,standardized numeric / bool cast / one-hot categorical,yes,
160,gold_has_test_patch,dense,dense_bool,structured_gold_answer_bool,gold_has_test_patch,standardized numeric / bool cast / one-hot categorical,yes,
161,gold_prefix_action_file_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_prefix_action_file_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
162,gold_prefix_feedback_file_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_prefix_feedback_file_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
163,gold_prefix_thought_file_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_prefix_thought_file_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
164,gold_last_action_file_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_last_action_file_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
165,gold_last_feedback_file_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_last_feedback_file_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
166,gold_last_thought_file_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_last_thought_file_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
167,gold_prefix_action_api_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_prefix_action_api_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
168,gold_prefix_feedback_api_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_prefix_feedback_api_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
169,gold_prefix_thought_api_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_prefix_thought_api_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
170,gold_last_action_api_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_last_action_api_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
171,gold_last_feedback_api_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_last_feedback_api_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
172,gold_last_thought_api_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_last_thought_api_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
173,gold_prefix_action_test_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_prefix_action_test_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
174,gold_prefix_feedback_test_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_prefix_feedback_test_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
